key,name,desc,cnt,run_dir,dataset,config,git_commit,git_diff_path,gpus,gpu,nvidia-smi,parameters,trainable_parameters,trainable_percentage,best_val_loss_mean,best_val_loss_std,best_val_loss_min,best_val_loss_max,final_val_loss_mean,final_val_loss_std,best_val_ppl_mean,best_val_ppl_std,final_val_ppl_mean,final_val_ppl_std,best_step_median,gen_gap_final_mean,gen_gap_final_std,tokens_per_sec_mean,tokens_per_sec_std,mfu_mean,mfu_std,iter_time_ms_mean,iter_time_ms_std
3834480_ftl_F_1,ftl_F_1,"Disable LoRA, full fine-tuning",5,runs/3834480_3_ftl_F_1_2026-04-06_05-08-58,tinystoriesInstruct,/home/alaltischenko/proj/tinyllm/fine-tune-lora-2/config/F_1/config.py,c6419b1619aa998f756cb51705a6971a509d9c62,.,1,Tesla V100-SXM2-32GB,runs/3834480_3_ftl_F_1_2026-04-06_05-08-58/logs/nvidia-smi.txt,63779328,63779328,100.00%,1.13004,0.001699,1.1276,1.1321,1.13134,0.002689,3.095784,0.00526,3.099816,0.008334,26500,0.00828,0.003144,20838.462271,104.600471,2.78,0.012247,3145.017,15.751672
3834485_ftl_F_2,ftl_F_2,Apply LoRA to all attention to all layers,5,runs/3834485_0_ftl_F_2_2026-04-06_13-11-17,tinystoriesInstruct,/home/alaltischenko/proj/tinyllm/fine-tune-lora-2/config/F_2/config.py,c6419b1619aa998f756cb51705a6971a509d9c62,.,1,Tesla V100-SXM2-32GB,runs/3834485_0_ftl_F_2_2026-04-06_13-11-17/logs/nvidia-smi.txt,64074240,51491328,80.36%,1.14436,0.002665,1.1417,1.1486,1.14516,0.002178,3.14044,0.008377,3.14295,0.006849,26500,0.00582,0.004527,19618.413806,115.034569,2.628,0.017889,3340.627,19.5906
3834486_ftl_F_3,ftl_F_3,Aply LoRA to all attention to high half of layers,5,runs/3834486_3_ftl_F_3_2026-04-07_05-34-03,tinystoriesInstruct,/home/alaltischenko/proj/tinyllm/fine-tune-lora-2/config/F_3/config.py,c6419b1619aa998f756cb51705a6971a509d9c62,.,1,Tesla V100-SXM2-32GB,runs/3834486_3_ftl_F_3_2026-04-07_05-34-03/logs/nvidia-smi.txt,63926784,57635328,90.16%,1.1386,0.002709,1.1349,1.1421,1.13968,0.003898,3.122403,0.008458,3.125787,0.012189,26000,0.00662,0.0036,19824.459431,969.398346,2.65,0.129615,3312.577,172.865939
3840346_ftl_F_4,ftl_F_4,LoRA applied to every second layer,5,runs/3840346_3_ftl_F_4_2026-04-07_14-32-08,tinystoriesInstruct,/home/alaltischenko/proj/tinyllm/fine-tune-lora-2/config/F_4/config.py,c6419b1619aa998f756cb51705a6971a509d9c62,.,1,Tesla V100-SXM2-32GB,runs/3840346_3_ftl_F_4_2026-04-07_14-32-08/logs/nvidia-smi.txt,63926784,57635328,90.16%,1.13738,0.002727,1.1336,1.1409,1.13858,0.003973,3.118596,0.008503,3.122351,0.012406,26000,0.00682,0.003515,19760.714081,935.059834,2.642,0.125379,3322.814,167.357056
3864373_ftl_F_5,ftl_F_5,Apply LoRA to wte,5,runs/3864373_0_ftl_F_5_2026-04-10_18-05-02,tinystoriesInstruct,/home/alaltischenko/proj/tinyllm/fine-tune-lora-2/config/F_5/config.py,f994922767035b996b6d5273c7b7041ca0e35100,.,1,Tesla V100-SXM2-32GB,runs/3864373_0_ftl_F_5_2026-04-10_18-05-02/logs/nvidia-smi.txt,64185856,38430208,59.87%,1.1514,0.005113,1.1456,1.1573,1.15158,0.004914,3.162651,0.016172,3.163217,0.015546,26500,0.00186,0.003721,20683.008144,51.490718,2.776,0.008944,3168.607,7.87486
3885059_ftl_F_6,ftl_F_6,LoRA on wte and every second layer,5,runs/3885059_2_ftl_F_6_2026-04-16_03-16-13,tinystoriesInstruct,/home/alaltischenko/proj/tinyllm/fine-tune-lora-2/config/F_6/config.py,f994922767035b996b6d5273c7b7041ca0e35100,.,1,Tesla V100-SXM2-32GB,runs/3885059_2_ftl_F_6_2026-04-16_03-16-13/logs/nvidia-smi.txt,64333312,32286208,50.19%,1.17032,0.007382,1.1637,1.1821,1.17042,0.007582,3.223094,0.023853,3.22342,0.024507,25000,0.00622,0.005113,20167.287329,92.685461,2.714,0.013416,3249.674,14.960337
3958348_ftl_F_7,ftl_F_7,Apply qLoRA to all linear,5,runs/3958348_1_ftl_F_7_2026-05-05_07-36-36,tinystoriesInstruct,/home/alaltischenko/proj/tinyllm/fine-tune-lora-2/config/F_7/config.py,e272041c82f617cd7f6cf1938bcd2f0dc46bb24d,.,1,Tesla V100-SXM2-32GB,runs/3958348_1_ftl_F_7_2026-05-05_07-36-36/logs/nvidia-smi.txt,64565760,786432,1.22%,1.35762,0.001708,1.3561,1.3605,1.3591,0.002458,3.886936,0.006644,3.892698,0.009572,26500,-0.00364,0.002404,20855.138158,132.307939,2.812,0.017889,3142.54,19.895565
3964836_ftl_F_8,ftl_F_8,Apply qLoRA to all linear (not freeze wte),5,runs/3964836_1_ftl_F_8_2026-05-06_06-43-31,tinystoriesInstruct,/home/alaltischenko/proj/tinyllm/fine-tune-lora-2/config/F_8/config.py,87b3575d062b3642804fcb525939c72ceace8945,.,1,Tesla V100-SXM2-32GB,runs/3964836_1_ftl_F_8_2026-05-06_06-43-31/logs/nvidia-smi.txt,64565760,26804736,41.52%,1.20304,0.001787,1.2007,1.2054,1.20638,0.004015,3.33023,0.005951,3.341389,0.013403,24500,-0.00264,0.004277,18966.663133,44.529156,2.558,0.004472,3455.341,8.105836
3969701_ftl_F_9,ftl_F_9,"qLoRA apply to attention to every layer, freeze linear",5,runs/3969701_2_ftl_F_9_2026-05-08_02-42-48,tinystoriesInstruct,/home/alaltischenko/proj/tinyllm/fine-tune-lora-2/config/F_9/config.py,982570819160a5e2724e48ce2b1bb414c05f45d8,.,1,Tesla V100-SXM2-32GB,runs/3969701_2_ftl_F_9_2026-05-08_02-42-48/logs/nvidia-smi.txt,64074240,51491328,80.36%,1.15158,0.003849,1.147,1.1577,1.15244,0.003972,3.163206,0.01219,3.165928,0.012573,24500,0.00766,0.00373,19260.203542,983.995077,2.582,0.131034,3410.281,186.391325
3986003_ftl_F_10,ftl_F_10,"Apply LoRA to all attention, freeze all linear",5,runs/3986003_1_ftl_F_10_2026-05-12_14-16-33,tinystoriesInstruct,/home/alaltischenko/proj/tinyllm/fine-tune-lora-2/config/F_10/config.py,982570819160a5e2724e48ce2b1bb414c05f45d8,.,1,Tesla V100-SXM2-32GB,runs/3986003_1_ftl_F_10_2026-05-12_14-16-33/logs/nvidia-smi.txt,64074240,26313216,41.07%,1.21522,0.001621,1.213,1.2175,1.21626,0.00296,3.371039,0.005464,3.374555,0.009997,24500,-0.00292,0.005814,21573.459596,1003.549624,2.892,0.13572,3043.418,150.79126
