key,name,desc,cnt,dataset,trainable_percentage,best_val_loss_mean,best_val_loss_std,final_val_loss_mean,final_val_loss_std,best_val_ppl_mean,best_val_ppl_std,final_val_ppl_mean,final_val_ppl_std,gen_gap_final_mean,gen_gap_final_std,tokens_per_sec_mean,tokens_per_sec_std,mfu_mean,mfu_std,iter_time_ms_mean,iter_time_ms_std
3834480_ftl_F_1,ftl_F_1,"Disable LoRA, full fine-tuning",5,tinystoriesInstruct,100.00%,1.13004,0.001699,1.13134,0.002689,3.095784,0.00526,3.099816,0.008334,0.00828,0.003144,20838.462271,104.600471,2.78,0.012247,3145.017,15.751672
3834485_ftl_F_2,ftl_F_2,Apply LoRA to all attention to all layers,5,tinystoriesInstruct,80.36%,1.14436,0.002665,1.14516,0.002178,3.14044,0.008377,3.14295,0.006849,,,19618.413806,115.034569,2.628,0.017889,3340.627,19.5906
3834486_ftl_F_3,ftl_F_3,Aply LoRA to all attention to high half of layers,5,tinystoriesInstruct,90.16%,1.1386,0.002709,1.13968,0.003898,3.122403,0.008458,3.125787,0.012189,,,,,,,,
3840346_ftl_F_4,ftl_F_4,LoRA applied to every second layer,5,tinystoriesInstruct,90.16%,1.13738,0.002727,1.13858,0.003973,3.118596,0.008503,3.122351,0.012406,,,,,,,,
3864373_ftl_F_5,ftl_F_5,Apply LoRA to wte,5,tinystoriesInstruct,59.87%,1.1514,0.005113,1.15158,0.004914,3.162651,0.016172,3.163217,0.015546,0.00186,0.003721,20683.008144,51.490718,,,3168.607,7.87486
3885059_ftl_F_6,ftl_F_6,LoRA on wte and every second layer,5,tinystoriesInstruct,50.19%,1.17032,0.007382,1.17042,0.007582,3.223094,0.023853,3.22342,0.024507,,,20167.287329,92.685461,2.714,0.013416,3249.674,14.960337
3958348_ftl_F_7,ftl_F_7,Apply qLoRA to all linear,5,tinystoriesInstruct,1.22%,1.35762,0.001708,1.3591,0.002458,3.886936,0.006644,3.892698,0.009572,-0.00364,0.002404,,,2.812,0.017889,,
3964836_ftl_F_8,ftl_F_8,Apply qLoRA to all linear (not freeze wte),5,tinystoriesInstruct,41.52%,1.20304,0.001787,1.20638,0.004015,3.33023,0.005951,3.341389,0.013403,-0.00264,0.004277,18966.663133,44.529156,2.558,0.004472,3455.341,8.105836
3969701_ftl_F_9,ftl_F_9,"qLoRA apply to attention to every layer, freeze linear",5,tinystoriesInstruct,80.36%,1.15158,0.003849,1.15244,0.003972,3.163206,0.01219,3.165928,0.012573,,,19260.203542,983.995077,2.582,0.131034,3410.281,186.391325
3986003_ftl_F_10,ftl_F_10,"Apply LoRA to all attention, freeze all linear",5,tinystoriesInstruct,41.07%,1.21522,0.001621,1.21626,0.00296,3.371039,0.005464,3.374555,0.009997,-0.00292,0.005814,,,,,,
